City,Season,PM2.5 (µg/m³),PM10 (µg/m³),NO₂ (µg/m³),SO₂ (µg/m³),CO (mg/m³),O₃ (µg/m³),NH₃ (µg/m³),Temperature (°C),Humidity (%),Wind Speed (km/h),Traffic Density (veh/hr),Industrial Activity (0-100),Green Cover (%),Population Density (per km²),Waste Management Score (0-10),AQI,Outlier
Allahabad,PostMonsoon,107.7,222.8,34.3,9.0,2.95,41.4,9.7,23.2,44.2,16.3,5122,68.4,16.2,6670,7.3,230.0,No
Amritsar,Monsoon,54.3,101.5,13.5,22.1,0.26,41.4,9.5,29.8,77.4,25.3,2802,50.6,17.5,6599,6.7,120.5,No
Agra,Monsoon,51.2,112.3,28.5,8.5,1.12,44.3,19.4,25.9,89.3,27.3,4178,38.9,14.0,9544,4.1,126.9,No
Chennai,Summer,25.4,91.4,20.5,16.4,2.32,33.6,27.2,37.9,41.6,11.6,4794,55.7,27.8,8497,5.1,98.7,No
Rajkot,Summer,416.2,736.1,231.2,246.4,13.16,226.7,186.0,46.4,9.4,0.4,8786,92.7,1.8,6090,0.6,500.0,Yes
Nashik,Summer,59.9,97.6,41.7,21.8,1.17,31.8,2.4,41.8,29.9,12.1,2804,48.3,24.8,5328,5.7,93.9,No
Vadodara,Winter,114.4,181.7,49.7,17.1,3.36,36.4,19.9,11.5,59.7,6.8,4058,58.5,4.7,7760,7.5,193.4,No
Bhopal,Summer,51.9,56.9,34.2,15.5,1.48,56.9,24.7,37.1,48.9,16.2,3687,66.9,26.0,6101,4.8,109.9,No
Patna,Monsoon,81.7,190.9,17.9,20.0,1.2,43.6,11.0,26.7,85.8,23.4,4060,41.2,9.1,10561,4.4,205.5,No
Delhi,Winter,134.2,269.5,71.0,31.9,2.92,32.7,39.8,14.4,79.0,10.6,7256,61.9,11.1,9768,4.9,281.2,No
Kolkata,Winter,138.4,253.9,63.5,39.9,2.84,36.7,26.0,12.2,71.8,7.7,5080,58.6,19.1,27431,5.9,267.6,No
Hyderabad,Winter,85.8,164.4,50.3,28.8,2.08,64.4,45.6,19.5,69.6,11.3,5010,44.1,26.7,8416,8.1,155.2,No
Pune,PostMonsoon,74.6,160.6,19.4,12.4,1.68,50.5,50.4,25.4,46.4,9.4,4700,52.8,20.5,7087,6.6,173.4,No
Thane,Winter,94.1,163.8,51.9,32.9,2.19,28.5,19.0,13.2,68.4,10.7,4798,68.8,17.2,14475,7.5,179.0,No
Visakhapatnam,Winter,93.5,134.2,49.7,16.8,3.62,35.9,38.9,10.5,62.4,6.2,4137,49.6,25.0,7188,6.8,147.3,No
Varanasi,Winter,111.0,256.1,67.0,24.7,2.69,47.1,24.1,17.5,74.9,11.8,4967,74.6,8.6,9857,6.6,266.5,No
Hyderabad,PostMonsoon,57.6,67.3,38.2,26.5,1.44,39.9,28.8,22.0,48.8,11.2,4181,63.9,23.2,8828,4.0,91.3,No
Amritsar,PostMonsoon,87.5,168.2,45.8,8.2,1.98,35.0,15.7,31.7,61.1,10.1,3456,46.7,16.8,7650,6.2,173.3,No
Allahabad,Summer,74.0,168.9,52.3,20.7,2.31,32.4,18.1,37.0,27.5,19.1,4733,47.8,15.1,6549,6.3,165.6,No
Pune,PostMonsoon,74.5,124.5,40.6,16.6,1.93,58.6,19.6,22.3,47.1,14.1,5477,66.7,22.6,7843,7.4,147.9,No
Pune,PostMonsoon,102.8,108.6,45.3,19.6,2.28,53.0,26.4,24.1,41.8,15.0,5343,44.0,23.1,6237,7.3,187.1,No
Rajkot,Summer,54.1,101.8,18.7,22.5,0.45,51.5,16.1,35.0,36.0,13.0,2762,40.3,17.1,6836,4.1,114.1,No
Coimbatore,PostMonsoon,58.8,91.6,40.3,16.5,0.89,52.0,16.6,23.3,63.1,12.3,3557,46.1,25.6,4928,4.2,109.3,No
Ludhiana,Winter,140.9,230.7,45.7,8.0,1.85,49.2,25.4,17.5,58.7,5.5,2763,72.9,12.5,9467,6.8,241.9,No
Vadodara,Monsoon,67.2,83.2,25.0,18.0,0.85,9.0,19.9,27.1,93.0,31.3,4250,55.3,14.8,6716,6.6,117.0,No
Surat,PostMonsoon,112.7,139.3,50.6,10.9,2.02,30.7,36.9,22.5,41.9,13.6,6181,58.4,15.9,9680,4.4,204.7,No
Patna,Monsoon,65.8,117.6,45.6,28.5,1.3,29.4,4.9,29.7,88.0,25.6,4337,30.5,5.2,10733,6.9,126.7,No
Meerut,Summer,96.8,147.8,26.7,7.9,1.26,38.2,31.8,39.8,22.1,11.0,4481,51.8,7.2,7030,3.7,178.4,No
Kolkata,Winter,127.7,201.1,68.0,33.5,3.59,35.6,39.2,10.9,72.3,8.3,5805,41.7,9.4,26462,6.0,227.7,No
Indore,Summer,75.4,88.1,48.3,8.8,1.24,37.0,5.0,32.2,24.6,16.3,3284,55.2,14.9,8296,6.8,131.2,No
Delhi,Winter,148.2,323.4,42.5,14.5,1.14,34.6,25.2,10.2,74.3,5.4,4828,66.5,8.5,11849,6.0,342.4,No
Visakhapatnam,Winter,86.5,167.9,37.5,9.0,1.81,47.3,16.5,15.7,77.9,7.1,3408,71.3,29.1,5751,8.5,171.3,No
Pune,Winter,84.0,161.8,36.4,31.0,2.4,30.9,29.6,16.0,63.0,5.1,4161,68.1,17.7,7646,6.4,185.2,No
Meerut,Monsoon,79.9,114.2,47.5,10.3,1.05,43.2,13.1,29.0,91.8,22.2,3987,48.7,12.0,7389,6.4,137.2,No
Rajkot,PostMonsoon,93.3,111.0,24.8,15.5,2.66,13.1,5.5,26.1,40.6,11.8,3556,57.6,22.2,4728,5.0,161.1,No
Bengaluru,Winter,68.7,122.8,36.0,32.2,2.0,42.8,30.1,11.4,65.0,5.7,6429,45.4,24.3,9135,6.0,137.1,No
Ludhiana,Winter,447.2,534.6,246.6,256.7,9.43,227.9,130.1,45.7,8.0,0.4,8674,97.5,2.0,8280,1.2,500.0,Yes
Kolkata,Monsoon,85.4,90.4,9.0,1.0,1.94,35.8,4.3,31.7,86.1,33.6,6805,65.2,18.0,27331,6.4,153.9,No
Hyderabad,Summer,52.8,59.8,29.3,17.6,2.31,53.0,13.0,34.3,32.6,21.9,6060,74.4,18.8,6515,5.5,115.7,No
Visakhapatnam,Summer,69.8,117.9,33.4,14.3,1.23,46.1,33.5,43.3,48.0,14.9,3729,50.4,25.9,5404,5.6,122.3,No
Bengaluru,Monsoon,25.8,63.2,18.3,16.6,1.65,54.6,1.0,28.5,85.9,30.0,4875,32.7,32.4,9997,5.9,68.6,No
Nagpur,Summer,72.1,82.6,41.4,16.6,1.18,59.3,15.3,42.7,40.4,21.8,4727,72.6,20.8,6461,5.2,142.7,No
Varanasi,Winter,136.3,266.0,35.2,22.1,2.52,13.0,23.0,17.2,57.2,4.5,3071,62.0,9.7,5980,6.3,287.4,No
Rajkot,PostMonsoon,72.0,111.4,39.4,19.1,1.45,24.2,18.4,29.7,58.0,16.8,3647,58.5,14.8,6673,3.7,135.5,No
Chennai,Summer,24.1,71.7,29.9,19.2,2.21,67.3,18.0,33.7,42.6,17.1,5176,44.5,22.3,8839,8.0,83.8,No
Ludhiana,Summer,97.2,184.9,40.1,31.5,1.46,34.5,16.9,32.0,29.1,11.6,3958,100.0,8.8,8867,8.2,205.0,No
Coimbatore,Winter,63.5,98.2,81.6,16.7,2.46,44.4,38.9,15.3,63.0,9.8,3142,47.0,34.4,5849,3.5,114.5,No
Thane,Monsoon,39.1,86.5,17.7,14.5,0.38,32.1,24.6,34.5,85.9,22.1,4948,30.7,23.5,11590,5.0,99.2,No
Patna,Winter,189.5,287.7,62.2,24.1,2.29,37.7,25.4,13.0,72.2,9.9,5253,54.9,8.3,9379,7.3,327.3,No
Rajkot,Monsoon,412.5,524.9,242.2,168.3,9.57,283.7,181.1,48.1,3.9,0.1,8635,99.9,2.5,6547,1.0,500.0,Yes
Kolkata,Summer,61.4,137.1,19.5,11.5,2.57,48.4,20.9,41.1,33.6,13.6,4569,64.3,16.2,23273,4.1,145.8,No
Ahmedabad,Winter,104.6,193.5,52.0,26.6,3.61,43.7,25.6,17.3,72.9,7.3,4997,60.6,15.9,7463,5.4,203.0,No
Jaipur,PostMonsoon,411.2,571.2,152.4,231.3,9.77,300.3,179.8,49.6,9.7,0.1,8985,96.8,2.1,8487,0.5,500.0,Yes
Bhopal,PostMonsoon,79.1,109.5,57.7,24.4,1.38,61.5,24.6,26.8,53.8,8.4,2973,57.6,22.8,7183,7.4,126.6,No
Thane,PostMonsoon,73.8,125.2,22.2,17.4,1.31,5.0,46.6,23.1,49.2,13.2,4281,48.4,15.7,15833,5.6,138.4,No
Rajkot,PostMonsoon,67.2,98.2,37.7,2.9,2.55,5.0,22.3,22.9,44.6,8.8,2779,50.0,23.0,7016,6.9,122.6,No
Ahmedabad,Monsoon,62.3,86.6,13.9,8.7,0.4,31.2,14.4,31.8,72.1,24.2,4625,55.9,16.1,8682,4.6,128.7,No
Nashik,Summer,46.4,76.2,25.8,18.6,1.58,41.5,20.2,43.8,43.5,19.3,2464,50.2,17.3,5162,7.1,76.8,No
Amritsar,PostMonsoon,445.2,627.5,163.0,247.5,8.69,325.9,194.5,46.6,9.4,0.7,8883,96.7,1.1,7039,1.4,500.0,Yes
Patna,PostMonsoon,135.8,188.4,51.8,26.6,1.78,28.0,9.1,25.4,49.6,13.2,3374,49.5,12.3,11328,5.3,238.3,No
Thane,Monsoon,46.7,81.3,34.3,20.0,0.9,37.1,20.7,30.8,78.9,31.4,5296,52.8,25.9,14157,7.2,85.7,No
Kanpur,PostMonsoon,162.2,190.8,35.8,20.0,1.64,42.0,24.2,25.7,45.6,16.5,5984,82.8,2.6,7525,4.7,280.0,No
Bhopal,Monsoon,51.8,56.8,8.4,3.4,0.74,46.3,26.3,34.7,81.4,31.6,3114,86.5,19.8,5534,7.3,89.9,No
Allahabad,Summer,74.0,143.3,42.8,17.5,2.23,39.8,28.8,39.9,31.0,23.6,2802,13.1,13.2,7998,4.4,146.9,No
Coimbatore,Winter,493.8,652.2,189.9,233.9,10.77,322.7,165.4,45.2,3.4,0.7,8344,99.5,0.7,6745,0.8,500.0,Yes
Chennai,PostMonsoon,54.5,104.3,55.8,3.7,1.67,19.0,8.8,29.4,61.0,11.9,6105,46.9,26.0,9247,5.9,110.5,No
Delhi,Monsoon,62.9,182.8,11.3,10.2,0.27,49.3,10.5,27.6,85.3,33.9,5681,46.2,12.9,10537,4.9,202.5,No
Patna,Summer,107.0,177.0,40.9,39.1,1.8,45.3,9.9,36.7,44.0,17.9,2639,63.5,9.9,9612,7.1,188.5,No
Indore,PostMonsoon,77.8,83.1,27.9,23.9,1.33,33.1,15.1,30.0,60.4,14.4,4166,60.2,23.2,6150,6.0,148.0,No
Delhi,Monsoon,59.3,170.9,20.9,21.3,1.65,5.0,6.3,26.2,83.9,21.5,7604,89.0,6.9,14146,6.2,194.1,No
Thane,Winter,99.0,178.3,52.7,23.4,2.33,48.1,35.3,10.5,69.3,10.8,5364,30.8,16.7,13907,3.5,198.0,No
Vadodara,Monsoon,35.7,83.3,42.1,16.5,1.34,37.3,18.7,33.7,77.4,18.2,3920,37.9,10.7,8518,7.2,103.3,No
Nagpur,Summer,37.0,121.0,32.7,20.2,1.53,46.6,1.0,36.0,27.5,15.2,4420,35.6,19.3,5923,5.7,121.3,No
Thane,PostMonsoon,73.9,118.2,39.0,17.9,3.35,19.0,6.1,20.9,62.4,17.6,5299,54.5,18.0,12720,4.8,150.3,No
Hyderabad,Winter,67.5,122.8,46.6,25.4,1.58,38.7,28.5,13.9,78.1,7.3,5358,60.8,22.0,7708,8.2,137.5,No
Kolkata,Summer,94.1,136.6,26.7,7.8,2.03,26.9,26.6,38.8,26.2,17.9,5946,79.6,15.5,22302,5.3,165.1,No
Thane,Monsoon,48.9,86.5,17.1,15.2,0.88,5.0,15.9,27.9,87.2,24.4,3491,54.1,19.9,12090,5.1,84.9,No
Allahabad,Monsoon,80.1,110.3,40.9,1.0,2.4,14.5,9.3,33.8,81.1,26.8,3970,61.8,7.9,7386,4.4,141.8,No
Kanpur,Monsoon,135.3,140.3,31.9,12.3,1.05,35.5,6.8,34.2,72.6,22.8,4186,86.6,6.3,8618,7.9,235.9,No
Amritsar,PostMonsoon,118.5,150.2,24.3,14.7,1.06,32.5,36.2,26.5,56.6,9.4,4286,28.9,15.8,6256,3.6,200.8,No
Vadodara,Monsoon,49.5,54.5,28.8,16.4,0.2,18.9,3.9,31.3,79.1,32.0,3872,69.2,21.6,5984,7.4,87.4,No
Kanpur,Winter,126.5,302.8,45.4,25.1,2.29,36.7,26.7,16.2,61.5,9.8,4812,94.0,4.3,8936,3.7,317.3,No
Coimbatore,PostMonsoon,342.8,501.5,180.1,247.4,13.56,230.4,196.7,47.5,9.3,0.6,8583,90.9,1.0,5109,0.5,500.0,Yes
Meerut,PostMonsoon,52.0,187.0,55.6,11.9,1.17,42.1,12.6,20.2,57.5,15.7,4354,68.6,1.0,7612,6.8,206.0,No
Nagpur,Winter,102.0,123.8,42.9,31.9,1.65,25.8,21.5,18.7,73.1,9.3,4075,48.9,15.9,6578,5.2,196.9,No
Surat,PostMonsoon,57.6,141.5,34.2,11.9,1.83,14.7,22.6,30.7,56.3,13.7,5206,66.9,19.7,8566,4.1,162.2,No
Faridabad,Winter,195.2,320.6,65.2,24.1,2.36,23.7,25.1,19.2,67.8,8.5,4720,62.5,0.5,9887,5.7,334.5,No
Allahabad,Winter,152.6,203.1,50.1,32.7,1.91,44.9,27.1,21.5,57.0,7.5,4837,26.6,17.0,8414,7.3,249.7,No
Amritsar,Summer,69.4,161.0,19.5,17.7,1.3,35.9,39.4,42.3,39.7,19.1,3764,41.1,4.0,7962,4.7,168.8,No
Kanpur,Summer,103.6,233.3,40.5,5.5,1.11,45.7,20.5,38.0,49.1,20.2,3963,79.9,6.9,7126,8.1,244.9,No
Mumbai,Monsoon,32.1,71.8,20.4,22.0,1.2,32.7,4.1,28.2,78.5,28.6,7173,61.1,15.5,23880,6.3,83.1,No
Chennai,Monsoon,54.8,59.8,11.2,8.8,0.75,40.2,3.1,26.6,93.1,15.1,3557,63.9,20.9,9903,6.3,93.9,No
Nagpur,Summer,48.5,88.6,36.9,20.9,2.2,63.8,18.2,43.3,30.8,23.9,4616,39.3,23.5,7494,4.2,117.3,No
Lucknow,Monsoon,76.3,81.3,22.3,9.5,1.01,46.4,23.3,30.2,74.8,32.8,4414,56.7,10.4,9210,3.7,137.5,No
Chennai,Winter,94.7,132.9,61.5,28.8,2.51,41.9,31.7,19.3,69.4,9.6,5066,52.5,26.6,10528,3.7,162.6,No
Mumbai,PostMonsoon,81.8,115.4,41.1,29.4,1.1,61.2,9.6,24.5,42.7,11.0,5475,66.3,14.1,20337,4.6,149.1,No
Meerut,Summer,148.9,177.3,37.3,13.7,1.26,43.4,21.0,37.3,28.2,12.0,2513,47.2,4.8,8824,5.5,262.0,No
Pune,PostMonsoon,70.9,107.7,51.2,24.0,1.67,55.6,23.5,31.5,54.7,8.1,3317,52.9,21.7,6738,6.7,110.9,No
Thane,Summer,77.4,133.9,54.6,2.9,2.51,47.2,31.5,34.7,31.1,19.5,4644,45.9,24.6,17083,7.4,139.7,No
Amritsar,Monsoon,43.0,48.0,34.4,3.1,1.9,28.1,6.1,26.6,70.4,30.6,3720,44.9,15.6,6624,4.7,93.2,No
Bhopal,Winter,98.0,151.9,51.3,22.1,3.02,13.0,20.1,17.5,60.3,6.7,4650,72.5,28.4,4976,4.9,169.3,No
Jaipur,Winter,126.5,209.7,55.9,33.7,2.59,27.2,36.8,17.3,58.8,5.7,3167,43.7,15.2,8159,5.1,213.7,No
Vadodara,Summer,95.7,116.2,39.0,20.0,0.57,40.1,14.6,32.7,21.6,16.4,4601,60.0,17.4,6239,6.0,169.7,No
Thane,Summer,83.4,89.5,49.0,13.3,1.0,48.0,9.4,38.6,35.9,23.1,5424,28.8,18.8,15833,4.4,146.1,No
Nashik,Monsoon,31.2,45.6,23.5,13.9,1.81,14.5,15.6,28.7,90.7,23.0,3483,20.9,27.3,5335,4.5,42.8,No
Surat,Winter,106.3,191.6,39.6,25.4,2.18,25.8,35.6,19.8,74.0,6.1,3471,59.1,7.2,9752,5.1,216.1,No
Pune,Winter,86.4,168.4,61.9,20.7,1.96,14.8,23.2,10.5,73.1,9.2,4238,38.2,17.8,8766,7.2,173.8,No
Kolkata,Summer,89.2,175.0,7.2,10.7,1.61,51.9,7.0,32.6,48.4,14.7,5927,48.1,13.4,23426,7.9,188.3,No
Coimbatore,Summer,13.0,73.4,35.9,7.3,1.73,47.3,19.0,41.3,44.0,17.4,4249,38.1,28.1,5709,7.1,87.2,No
Lucknow,Winter,161.7,198.3,46.9,26.4,2.75,52.9,26.6,19.1,64.3,6.0,5698,48.2,18.4,9795,5.7,276.7,No
Nagpur,Summer,63.7,100.2,40.8,18.1,0.61,33.5,17.3,41.4,30.5,14.7,3770,36.2,28.1,5290,8.5,116.0,No
Ghaziabad,PostMonsoon,149.6,184.8,24.6,26.3,1.11,36.8,30.2,25.1,61.0,15.1,5081,76.1,2.8,8369,4.1,269.5,No
Chennai,Winter,86.7,152.6,54.4,20.2,3.51,53.4,21.6,19.2,61.4,7.6,4346,44.0,25.9,10721,6.9,172.5,No
Coimbatore,Summer,45.0,52.3,31.9,18.1,1.55,61.2,24.9,43.6,43.6,14.4,3495,21.9,33.0,4975,7.7,51.8,No
Surat,Summer,59.6,152.3,25.7,20.7,1.64,23.6,34.0,36.7,26.9,17.0,4026,54.6,15.8,6969,5.5,167.1,No
Thane,Monsoon,33.4,94.0,45.7,7.7,1.42,20.7,6.9,33.3,85.1,22.8,6018,74.7,26.2,14395,5.2,100.8,No
Lucknow,Monsoon,73.1,125.5,20.1,13.9,1.34,33.9,6.3,29.6,87.4,35.0,4478,57.0,3.9,8649,4.0,147.0,No
Rajkot,Winter,78.6,135.4,52.6,20.8,2.23,47.3,35.6,14.5,58.5,9.7,4368,60.3,20.3,6085,7.3,139.1,No
Pune,Summer,63.8,99.4,35.6,12.7,0.81,37.2,29.3,39.1,42.3,15.1,3417,38.8,21.6,7437,5.0,105.9,No
Allahabad,Monsoon,69.6,136.9,34.7,15.9,1.75,54.3,23.1,33.2,73.1,32.0,4141,33.7,9.9,7814,7.5,151.9,No
Coimbatore,Summer,30.0,75.3,33.7,16.3,2.6,47.0,15.8,43.8,23.8,24.2,3433,18.9,34.6,6474,3.6,44.7,No
Ahmedabad,Monsoon,76.6,125.3,18.2,11.0,1.57,47.8,21.8,28.4,77.4,32.5,4942,70.9,18.8,7690,6.8,137.4,No
Ludhiana,Winter,138.7,238.2,58.9,26.6,2.77,37.1,31.3,20.0,75.0,6.9,4341,67.8,3.6,7407,7.6,259.6,No
Allahabad,Winter,101.3,234.0,60.0,23.3,2.58,40.8,27.0,14.6,70.3,9.0,4526,22.2,10.2,9597,4.8,238.0,No
Bhopal,Summer,78.6,99.4,20.5,9.3,1.54,16.2,13.6,34.2,33.7,22.2,3436,56.7,14.0,6787,8.3,129.5,No
Bengaluru,Winter,65.3,121.2,54.7,23.0,2.99,16.6,17.7,12.0,60.9,8.0,5679,36.7,29.8,7588,6.8,138.5,No
Allahabad,Winter,155.1,227.0,33.0,41.6,2.45,38.7,19.6,14.6,69.9,4.6,4874,42.6,9.5,8025,6.3,266.4,No
Kanpur,Winter,170.7,303.6,38.5,30.2,1.99,30.6,29.5,16.9,69.2,7.3,5409,87.3,4.9,7104,5.0,329.3,No
Meerut,PostMonsoon,93.2,201.6,37.1,23.4,2.09,52.1,24.7,20.4,50.7,17.1,4217,68.1,11.5,7155,3.9,222.9,No
Delhi,Monsoon,63.5,142.1,5.9,14.5,2.34,23.1,8.2,34.9,77.7,17.5,5669,78.6,10.6,9442,6.3,167.9,No
Faridabad,Monsoon,69.4,143.5,35.7,17.9,0.47,43.3,23.5,31.7,88.3,26.7,4771,93.8,7.8,9726,8.5,156.1,No
Agra,Winter,127.3,206.6,55.4,20.2,2.14,27.4,51.5,12.7,73.9,6.5,4437,60.7,13.4,9938,7.6,220.3,No
Kolkata,Winter,114.6,193.0,48.5,26.3,2.31,52.6,34.4,17.6,76.1,6.1,5879,62.8,10.8,18507,6.1,195.3,No
Pune,Monsoon,50.6,55.6,19.6,21.1,2.01,38.7,20.6,33.3,87.7,24.6,3355,52.1,22.1,8698,7.1,94.0,No
Meerut,Monsoon,67.7,118.1,38.0,1.2,0.98,51.0,22.1,29.9,75.4,18.4,4052,56.5,9.2,7978,5.5,115.4,No
Meerut,Summer,75.8,145.9,24.5,20.5,0.71,11.4,29.1,41.0,39.9,17.9,3969,57.6,7.7,6702,4.0,164.9,No
Patna,PostMonsoon,99.9,226.9,42.1,20.5,1.62,32.5,21.8,22.9,57.2,14.8,3711,35.6,7.3,9532,4.0,246.9,No
Patna,PostMonsoon,110.3,187.4,48.5,12.2,1.14,29.7,19.7,21.6,43.9,16.2,3515,52.7,9.9,9250,7.0,193.8,No
Delhi,Winter,160.4,267.5,61.9,25.7,2.57,52.1,44.7,15.3,61.2,9.4,5059,61.2,13.7,10686,5.5,290.7,No
Jaipur,PostMonsoon,60.1,143.2,26.3,18.6,2.66,14.1,15.6,29.3,63.7,9.2,3782,59.5,13.3,8495,3.9,144.7,No
Kolkata,Monsoon,86.7,107.7,18.3,16.0,0.95,42.1,9.0,34.1,92.9,21.6,4679,72.2,18.8,22235,6.1,165.1,No
Patna,Monsoon,45.4,215.5,25.0,1.0,1.89,26.0,22.6,30.4,76.0,32.0,4087,33.1,10.1,8209,7.7,232.1,No
Kanpur,Winter,226.2,339.8,46.8,22.5,2.65,61.5,32.0,16.1,65.1,7.2,4912,63.2,9.5,7655,4.4,390.1,No
Agra,Summer,89.4,189.9,3.6,8.2,2.12,42.0,20.4,32.3,42.9,18.7,3030,51.8,11.6,9386,6.3,185.9,No
Lucknow,Summer,108.0,201.8,23.7,23.1,1.9,50.0,8.4,43.7,21.5,15.3,3487,52.9,8.1,7776,7.7,218.0,No
Nashik,Summer,50.8,84.7,20.8,21.7,1.5,35.3,23.4,41.9,30.5,16.8,3330,49.3,25.3,5333,4.8,89.6,No
Kolkata,Monsoon,72.1,86.6,7.3,19.0,1.44,31.2,10.4,25.4,90.1,27.3,6094,62.3,10.5,28338,4.5,135.6,No
Bengaluru,Monsoon,32.0,52.2,18.8,1.0,1.41,24.9,1.4,25.1,71.9,22.8,6245,40.5,25.8,9303,4.7,82.3,No
Coimbatore,Monsoon,16.4,47.2,38.9,1.0,0.94,39.9,1.0,30.1,90.2,26.1,2667,40.8,36.8,4688,7.6,64.8,No
Mumbai,Monsoon,51.7,141.1,48.5,1.9,0.15,44.5,25.2,26.6,77.3,28.6,5757,67.3,15.4,20869,3.8,154.3,No
Varanasi,PostMonsoon,113.2,198.4,46.8,8.1,2.48,35.8,13.3,20.1,56.9,14.6,3484,33.4,11.0,7101,5.2,204.5,No
Agra,Summer,85.1,153.3,11.9,17.9,1.69,45.8,17.0,38.2,49.1,21.6,3789,54.5,13.8,8335,8.4,159.1,No
Allahabad,Monsoon,57.9,75.6,33.5,1.0,1.15,36.1,11.3,32.4,81.2,16.4,2887,57.6,9.9,8863,4.3,121.8,No
Jaipur,PostMonsoon,72.1,182.9,55.4,13.4,2.79,46.7,19.9,31.9,45.3,13.0,2358,66.9,10.9,6798,3.9,201.2,No
Bengaluru,PostMonsoon,71.9,76.9,35.5,19.9,0.12,33.1,13.0,23.5,51.7,19.9,4409,41.1,32.9,10345,3.6,120.8,No
Rajkot,Monsoon,28.6,54.8,12.1,16.4,0.4,31.0,17.9,26.4,84.7,19.0,3458,62.7,19.6,6327,8.4,52.1,No
Vadodara,Winter,108.6,153.6,47.4,32.6,1.84,42.5,29.3,20.2,78.6,10.9,4115,64.3,13.8,6880,6.2,194.2,No
Delhi,Monsoon,90.8,110.2,18.4,14.5,2.08,32.6,23.7,25.5,85.2,18.1,4814,59.5,14.2,12021,3.8,161.6,No
Coimbatore,PostMonsoon,37.5,85.6,42.9,23.4,1.58,37.6,24.8,25.4,40.4,17.9,2461,44.3,35.0,5866,4.1,89.0,No
Lucknow,PostMonsoon,100.9,220.7,24.7,20.3,0.87,37.4,23.5,24.9,46.7,20.0,5857,51.8,13.4,10541,5.3,238.0,No
Allahabad,Monsoon,71.8,131.6,30.5,1.0,2.3,11.8,23.5,31.5,74.7,16.3,4040,48.7,11.8,6990,5.4,130.0,No
Pune,Winter,99.9,144.7,60.4,25.8,2.16,31.2,29.7,22.0,72.4,6.5,4321,53.5,23.6,6774,4.6,172.8,No
Bhopal,Monsoon,56.4,83.7,48.2,1.9,0.37,21.1,12.0,27.1,75.0,32.2,4500,54.0,30.8,5017,3.8,88.3,No
Pune,Winter,95.1,160.4,41.4,29.1,2.05,33.1,35.2,19.7,60.2,6.7,3980,68.7,23.0,7857,3.6,176.4,No
Ludhiana,Monsoon,76.8,122.1,22.6,1.0,1.01,33.1,1.0,27.7,77.4,22.2,3213,87.9,11.1,8026,8.0,123.5,No
Chennai,Winter,79.1,135.6,45.1,20.7,2.16,36.9,22.9,17.0,71.5,9.8,4777,45.6,24.1,8852,8.2,136.3,No
Hyderabad,Summer,51.6,68.4,45.5,25.0,1.5,58.7,15.4,40.6,38.4,18.0,4357,60.7,32.7,8209,7.4,101.2,No
Coimbatore,Summer,50.2,79.5,40.7,17.3,1.86,41.5,21.7,39.1,34.8,14.7,2960,25.0,32.1,4983,6.4,81.5,No
Visakhapatnam,Winter,95.8,156.4,42.8,18.4,2.82,26.3,30.2,20.6,71.0,7.1,3884,45.9,27.5,8467,6.3,149.1,No
Amritsar,Summer,45.8,166.6,28.8,8.6,2.97,53.8,16.3,33.3,42.1,20.6,3299,50.2,15.3,7242,7.9,182.4,No
Thane,Monsoon,38.6,57.5,16.4,2.8,1.26,44.8,13.7,25.3,71.6,25.8,6547,39.0,22.8,16521,5.6,81.3,No
Jaipur,Monsoon,69.6,74.6,22.7,9.8,1.32,48.1,15.8,34.2,82.6,19.9,4342,73.7,11.2,7340,6.2,138.1,No
Rajkot,Summer,65.7,115.9,24.2,13.2,1.17,46.3,28.3,35.8,42.9,21.2,3014,64.9,13.3,5565,4.6,138.1,No
Bhopal,Summer,59.5,114.5,22.9,20.1,0.96,54.0,19.0,41.0,23.6,13.8,3668,44.3,18.9,6711,4.0,115.6,No
Lucknow,PostMonsoon,96.1,199.4,36.3,19.2,1.68,52.0,14.6,22.0,56.5,14.6,4123,56.5,11.1,8720,6.3,211.1,No
Jaipur,Winter,146.4,204.0,47.8,21.5,1.77,26.9,38.8,18.2,79.1,11.4,2634,74.5,15.9,8872,5.3,257.1,No
Patna,Winter,180.5,270.2,46.0,16.5,3.02,40.5,37.0,12.6,63.1,5.2,3776,35.2,16.4,11650,6.2,311.6,No
Nagpur,Summer,49.9,92.9,36.2,23.9,2.23,50.0,10.0,34.6,42.0,19.2,3418,46.7,18.5,6734,3.5,94.5,No
Meerut,Monsoon,67.7,124.3,8.2,5.2,1.46,28.4,13.5,34.5,90.6,24.6,4169,51.6,18.5,6895,7.0,133.3,No
Kolkata,PostMonsoon,100.3,127.3,57.8,16.8,1.3,37.8,23.4,32.0,44.5,19.8,3022,45.4,12.0,29150,4.6,164.2,No
Patna,Monsoon,64.5,126.2,12.1,8.4,0.45,13.0,22.4,34.2,80.0,18.8,3066,58.3,7.2,8298,4.2,155.3,No
Ludhiana,Monsoon,123.0,128.0,41.7,11.4,0.68,39.4,3.9,30.7,77.3,17.3,3260,89.3,11.7,8017,7.8,220.4,No
Pune,Summer,61.8,72.2,47.2,22.1,1.35,55.6,34.7,40.7,36.4,13.1,3645,58.8,24.5,6933,4.1,135.9,No
Visakhapatnam,Summer,57.0,86.9,7.9,25.2,1.46,67.0,4.6,43.3,31.9,15.0,2591,42.0,25.7,6780,8.0,100.3,No
